Seized Property Inventory Valued Over One Million Dollars,,,,,,,,
Fiscal Year 2015,,,,,,,,
,,,,,,,,
Aircraft,,,,,,,,
Location,Description,Equity,,,,,,
"Denison, TX             ",Aircraft,"$1,305,924 ",,,,,,
"Anchorage, AK           ",Aircraft,"$1,400,000 ",,,,,,
"Houston, TX             ",Aircraft,"$1,800,214 ",,,,,,
"Houston, TX             ",Aircraft,"$2,800,664 ",,,,,,
Cash/Currency,,,,,,,,
Location,Description,Equity,,,,,,
"Walnut, CA              ",US Currency,"$1,000,000 ",,,,,,
"Irvine, CA              ",US Currency,"$1,000,000 ",,,,,,
"Plantation, FL          ",US Currency,"$1,000,809 ",,,,,,
"Little Rock, AR         ",US Currency,"$1,000,822 ",,,,,,
"Little Rock, AR         ",US Currency,"$1,001,891 ",,,,,,
"New York, NY            ",US Currency,"$1,003,234 ",,,,,,
"Des Moines, IA          ",US Currency,"$1,004,936 ",,,,,,
"West Des Moines, IA     ",US Currency,"$1,023,019 ",,,,,,
"New York, NY            ",US Currency,"$1,031,182 ",,,,,,
"Omaha, NE              ",US Currency,"$1,035,305 ",,,,,,
"New York, NY            ",US Currency,"$1,035,415 ",,,,,,
"San Diego, CA           ",US Currency,"$1,037,100 ",,,,,,
"Mattapan, MA            ",US Currency,"$1,037,627 ",,,,,,
"Glen Head, NY           ",US Currency,"$1,038,266 ",,,,,,
"White Plains, NY        ",US Currency,"$1,047,263 ",,,,,,
"Ransom Canyon, TX       ",US Currency,"$1,057,495 ",,,,,,
"New York, NY            ",US Currency,"$1,057,797 ",,,,,,
"New Orleans, LA         ",US Currency,"$1,057,880 ",,,,,,
"Mattituck, NY           ",US Currency,"$1,058,594 ",,,,,,
"Palm Beach Gardens, FL ",US Currency,"$1,062,805 ",,,,,,
"Lincoln, NE             ",US Currency,"$1,066,561 ",,,,,,
"San Francisco, CA       ",US Currency,"$1,076,637 ",,,,,,
"Orange, CA              ",US Currency,"$1,079,149 ",,,,,,
"New York, NY            ",US Currency,"$1,120,561 ",,,,,,
"Houston, TX             ",US Currency,"$1,129,302 ",,,,,,
"Niles, IL               ",US Currency,"$1,131,385 ",,,,,,
"Long Island City, NY    ",US Currency,"$1,133,950 ",,,,,,
"Philadelphia, PA",US Currency,"$1,135,702 ",,,,,,
"Cincinnati, OH          ",US Currency,"$1,145,845 ",,,,,,
"Miami, FL               ",US Currency,"$1,147,408 ",,,,,,
"McAllen, TX             ",US Currency,"$1,148,800 ",,,,,,
"Fort Lauderdale, FL     ",US Currency,"$1,166,153 ",,,,,,
"New York, NY            ",US Currency,"$1,172,523 ",,,,,,
"Boca Raton, FL          ",US Currency,"$1,176,241 ",,,,,,
"Brooklyn, NY            ",US Currency,"$1,177,844 ",,,,,,
"Chicago, IL             ",US Currency,"$1,183,520 ",,,,,,
"New York, NY            ",US Currency,"$1,201,107 ",,,,,,
"Irvine, CA              ",US Currency,"$1,204,582 ",,,,,,
"Yonkers, NY             ",US Currency,"$1,210,015 ",,,,,,
"San Antonio, TX         ",US Currency,"$1,214,233 ",,,,,,
"Dallas, TX              ",US Currency,"$1,225,000 ",,,,,,
"Miami, FL               ",US Currency,"$1,229,948 ",,,,,,
"El Paso, TX             ",US Currency,"$1,237,820 ",,,,,,
"San Jose, CA            ",US Currency,"$1,241,681 ",,,,,,
"Fort Myers, FL          ",US Currency,"$1,253,419 ",,,,,,
"Mantoloking, NJ         ",US Currency,"$1,265,711 ",,,,,,
"Great Neck, NY          ",US Currency,"$1,272,690 ",,,,,,
"Pinellas Park, FL       ",US Currency,"$1,276,782 ",,,,,,
"Carteret, NJ            ",US Currency,"$1,291,653 ",,,,,,
"San Diego, CA           ",US Currency,"$1,324,691 ",,,,,,
"Charlotte, NC           ",US Currency,"$1,341,125 ",,,,,,
"New York, NY            ",US Currency,"$1,344,375 ",,,,,,
"Montgomery, TX          ",US Currency,"$1,345,050 ",,,,,,
"Weehawken, NJ           ",US Currency,"$1,364,269 ",,,,,,
"Secaucus, NJ            ",US Currency,"$1,368,140 ",,,,,,
"Kemah, TX               ",US Currency,"$1,372,406 ",,,,,,
"San Diego, CA           ",US Currency,"$1,390,515 ",,,,,,
"Newark, NJ              ",US Currency,"$1,409,595 ",,,,,,
"Russell, KY             ",US Currency,"$1,428,306 ",,,,,,
"Bloomfield Hills, MI    ",US Currency,"$1,442,232 ",,,,,,
"Barstow, CA             ",US Currency,"$1,443,015 ",,,,,,
"Newark, NY              ",US Currency,"$1,453,592 ",,,,,,
"New York, NY            ",US Currency,"$1,464,275 ",,,,,,
"Covington, KY           ",US Currency,"$1,470,875 ",,,,,,
"New York, NY            ",US Currency,"$1,478,798 ",,,,,,
"Carolina, PR            ",US Currency,"$1,483,035 ",,,,,,
"Springfield, MA         ",US Currency,"$1,493,269 ",,,,,,
"Fontana, CA             ",US Currency,"$1,504,931 ",,,,,,
"Omaha, NE            ",US Currency,"$1,513,409 ",,,,,,
"Bridgewater, NJ      ",US Currency,"$1,518,054 ",,,,,,
"El Paso, TX             ",US Currency,"$1,521,910 ",,,,,,
"Winona, MN           ",US Currency,"$1,537,311 ",,,,,,
