,ID,Press_Release_ID,Component
0,1,1,National Security Division (NSD)
1,2,2,Environment and Natural Resources Division
2,3,3,Environment and Natural Resources Division
3,4,4,Environment and Natural Resources Division
4,5,5,Environment and Natural Resources Division
5,6,6,USAO - Puerto Rico
6,7,7,Civil Rights Division
7,8,7,Civil Rights - Criminal Section
8,9,8,Civil Division
9,10,9,Criminal Division
10,11,10,Criminal Division
11,12,11,Criminal Division
12,13,12,Criminal Division
13,14,13,Criminal Division
14,15,14,Criminal Division
15,16,14,"USAO - Tennessee, Middle"
16,17,15,Tax Division
17,18,16,National Security Division (NSD)
18,19,16,"USAO - California, Central"
19,20,17,National Security Division (NSD)
20,21,17,"USAO - California, Northern"
21,22,18,Criminal Division
22,23,19,Tax Division
23,24,20,Environment and Natural Resources Division
24,25,20,"USAO - Georgia, Middle"
25,26,21,USAO - New Jersey
26,27,22,USAO - Puerto Rico
27,28,23,Civil Division
28,29,24,Civil Division
29,30,24,"USAO - Florida, Middle"
30,31,25,Office of the Attorney General
31,32,26,Criminal Division
32,33,26,"USAO - Georgia, Northern"
33,34,27,Criminal Division
34,35,27,"USAO - Texas, Southern"
35,36,28,Office of the Associate Attorney General
36,37,29,Civil Rights Division
37,38,29,Civil Rights - Disability Rights Section
38,39,30,Criminal Division
39,40,30,"USAO - Georgia, Northern"
40,41,31,Civil Division
41,42,32,Criminal Division
42,43,33,USAO - New Mexico
43,44,34,Office of the Attorney General
44,45,35,Criminal Division
45,46,35,"USAO - North Carolina, Western"
46,47,36,Criminal Division
47,48,37,Antitrust Division
48,49,38,Civil Division
49,50,38,USAO - South Carolina
50,51,39,Criminal Division
51,52,40,Criminal Division
52,53,41,USAO - Puerto Rico
53,54,42,Office of the Attorney General
54,55,43,Criminal Division
55,56,43,"USAO - Tennessee, Middle"
56,57,44,Criminal Division
57,58,45,Office of the Attorney General
58,59,46,Criminal Division
59,60,47,Office of the Deputy Attorney General
60,61,48,Office of the Attorney General
61,62,49,Civil Division
62,63,50,Civil Division
63,64,51,Office of the Attorney General
64,65,52,Criminal Division
65,66,53,Civil Division
66,67,54,Civil Division
67,68,55,Civil Division
68,69,56,Civil Division
69,70,57,Criminal Division
70,71,57,"USAO - Kentucky, Eastern"
71,72,58,Criminal Division
72,73,59,Tax Division
73,74,60,Criminal Division
74,75,60,Criminal - Criminal Fraud Section
