,ID,Press_Release_ID,Topic
0,1,5,Environment
1,2,8,Consumer Protection
2,3,20,Environment
3,4,23,False Claims Act
4,5,23,Health Care Fraud
5,6,24,Health Care Fraud
6,7,24,False Claims Act
7,8,27,Consumer Protection
8,9,27,Elder Justice
9,10,28,Consumer Protection
10,11,28,StopFraud
11,12,30,Opioids
12,13,31,False Claims Act
13,14,31,Health Care Fraud
14,15,33,Drug Trafficking
15,16,33,Indian Country Law and Justice
16,17,38,False Claims Act
17,18,41,Drug Trafficking
18,19,45,Consumer Protection
19,20,48,Consumer Protection
20,21,55,Consumer Protection
21,22,59,Tax
22,23,60,Health Care Fraud
23,24,65,Drug Trafficking
24,25,65,Opioids
25,26,70,Asset Forfeiture
26,27,70,Tax
27,28,74,Public Corruption
28,29,77,Civil Rights
29,30,77,Human Trafficking
30,31,78,Civil Rights
31,32,79,Violent Crime
32,33,81,Health Care Fraud
33,34,83,Health Care Fraud
34,35,84,Health Care Fraud
35,36,85,Health Care Fraud
36,37,85,StopFraud
37,38,92,False Claims Act
38,39,92,Health Care Fraud
39,40,93,False Claims Act
40,41,93,Health Care Fraud
41,42,98,Tax
42,43,106,Counterterrorism
43,44,106,National Security
44,45,107,Counterterrorism
45,46,108,Counterterrorism
46,47,111,Counterterrorism
47,48,113,Antitrust
48,49,116,Counterterrorism
49,50,118,Antitrust
50,51,120,Counterterrorism
51,52,121,Counterterrorism
52,53,122,Counterterrorism
53,54,124,Counterterrorism
54,55,125,Counterterrorism
55,56,125,National Security
56,57,126,Counterterrorism
57,58,126,National Security
58,59,128,Counterterrorism
59,60,130,Counterterrorism
60,61,131,Tax
61,62,132,Identity Theft
62,63,132,Tax
63,64,133,Identity Theft
64,65,133,Tax
65,66,153,Identity Theft
66,67,153,Tax
67,68,156,Project Safe Childhood
68,69,157,Identity Theft
69,70,157,Tax
70,71,158,Project Safe Childhood
71,72,163,Project Safe Childhood
72,73,169,Hate Crimes
73,74,170,Counterterrorism
74,75,175,Hate Crimes
75,76,179,Project Safe Childhood
76,77,180,Project Safe Childhood
77,78,189,Tax
78,79,190,Hate Crimes
79,80,191,Counterterrorism
80,81,194,Project Safe Childhood
