Seized Property Inventory Valued Over One Million Dollars,,,,,,,
Fiscal Year 2016,,,,,,,
Aircraft,,,,,,,
Location,Description,Equity,,,,,
"Denison, TX            ",Aircraft,"$1,305,924 ",,,,,
"Anchorage, AK       ",Aircraft,"$1,400,000 ",,,,,
"Houston, TX",Aircraft,"$1,800,214 ",,,,,
"Houston, TX",Aircraft,"$2,800,664 ",,,,,
"Moselle, MS             ",Aircraft,"$4,762,000 ",,,,,
Art Work/Collection ,,,,,,,
Location,Description,Equity,,,,,
"Santa Clarita, CA     ",Printed Media,"$2,130,595 ",,,,,
Cash/Currency       ,,,,,,,
Location,Description,Equity,,,,,
"Walnut, CA              ",US Currency,"$1,000,000 ",,,,,
"Irvine, CA",US Currency,"$1,000,000 ",,,,,
"Eau Claire, MN          ",US Currency,"$1,000,000 ",,,,,
"Eau Claire, MN          ",US Currency,"$1,000,000 ",,,,,
"Plantation, FL          ",US Currency,"$1,000,809 ",,,,,
"Hattiesburg, MS         ",US Currency,"$1,001,418 ",,,,,
"New York, NY            ",US Currency,"$1,002,839 ",,,,,
"New York, NY            ",US Currency,"$1,003,234 ",,,,,
"Beverly Hills, CA     ",US Currency,"$1,027,640 ",,,,,
"New York, NY            ",US Currency,"$1,031,182 ",,,,,
"Hattiesburg, MS         ",US Currency,"$1,032,088 ",,,,,
"New York, NY            ",US Currency,"$1,035,415 ",,,,,
"San Diego, CA           ",US Currency,"$1,037,100 ",,,,,
"Glen Head, NY           ",US Currency,"$1,038,266 ",,,,,
"Bay City, TX            ",US Currency,"$1,039,960 ",,,,,
"White Plains, NY        ",US Currency,"$1,047,263 ",,,,,
"Yauco, PR            ",US Currency,"$1,048,064 ",,,,,
"Baltimore, MD           ",US Currency,"$1,052,899 ",,,,,
"Merrillville, IN        ",US Currency,"$1,053,756 ",,,,,
"Ransom Canyon, TX      ",US Currency,"$1,057,495 ",,,,,
"New York, NY            ",US Currency,"$1,057,797 ",,,,,
"New Orleans, LA         ",US Currency,"$1,057,880 ",,,,,
"Mattituck, NY           ",US Currency,"$1,058,594 ",,,,,
"Brooklyn, NY        ",US Currency,"$1,074,616 ",,,,,
"San Francisco, CA       ",US Currency,"$1,076,637 ",,,,,
"Wayne, PA               ",US Currency,"$1,098,323 ",,,,,
"Livonia, MI             ",US Currency,"$1,100,000 ",,,,,
"New York, NY            ",US Currency,"$1,120,561 ",,,,,
"Chicago, IL             ",US Currency,"$1,124,890 ",,,,,
"Niles, IL               ",US Currency,"$1,131,385 ",,,,,
"Houston, TX             ",US Currency,"$1,132,624 ",,,,,
"Long Island City, NY    ",US Currency,"$1,133,950 ",,,,,
"Philadelphia, PA        ",US Currency,"$1,135,702 ",,,,,
"New York, NY            ",US Currency,"$1,172,523 ",,,,,
"Raeford, NC            ",US Currency,"$1,172,898 ",,,,,
"Boca Raton, FL          ",US Currency,"$1,176,241 ",,,,,
"Brooklyn, NY            ",US Currency,"$1,177,844 ",,,,,
"Cleveland, OH           ",US Currency,"$1,200,000 ",,,,,
"New York, NY           ",US Currency,"$1,201,107 ",,,,,
"Irvine, CA              ",US Currency,"$1,204,582 ",,,,,
"White Plains, NY        ",US Currency,"$1,208,938 ",,,,,
"Yonkers, NY             ",US Currency,"$1,210,015 ",,,,,
"Miami, FL               ",US Currency,"$1,229,948 ",,,,,
"Hattiesburg, MS         ",US Currency,"$1,233,232 ",,,,,
"San Jose, CA            ",US Currency,"$1,241,681 ",,,,,
"Fort Myers, FL          ",US Currency,"$1,253,419 ",,,,,
"Atlanta, GA             ",US Currency,"$1,256,970 ",,,,,
"Mantoloking, NJ         ",US Currency,"$1,265,711 ",,,,,
"Pinellas Park, FL       ",US Currency,"$1,276,782 ",,,,,
"Omaha, NE               ",US Currency,"$1,286,486 ",,,,,
"Carteret, NJ            ",US Currency,"$1,291,653 ",,,,,
"Great Neck, NY          ",US Currency,"$1,307,791 ",,,,,
"San Diego, CA           ",US Currency,"$1,324,691 ",,,,,
"Charlotte, NC           ",US Currency,"$1,342,125 ",,,,,
"Montgomery, TX          ",US Currency,"$1,345,050 ",,,,,
"Lutherville, MD         ",US Currency,"$1,347,606 ",,,,,
"Weehawken, NJ           ",US Currency,"$1,364,269 ",,,,,
"Birmingham, AL          ",US Currency,"$1,367,398 ",,,,,
"Secaucus, NJ           ",US Currency,"$1,368,140 ",,,,,
"Hattiesburg, MS         ",US Currency,"$1,372,218 ",,,,,
"San Diego, CA           ",US Currency,"$1,390,515 ",,,,,
"Russell, KY           ",US Currency,"$1,428,306 ",,,,,
"Hollywood, FL           ",US Currency,"$1,446,120 ",,,,,
"Newark, NY              ",US Currency,"$1,453,592 ",,,,,
"New York, NY            ",US Currency,"$1,464,275 ",,,,,
"Brooklyn, NY            ",US Currency,"$1,464,650 ",,,,,
"Covington, KY         ",US Currency,"$1,470,875 ",,,,,
"New York, NY         ",US Currency,"$1,478,798 ",,,,,
"Springfield, MA        ",US Currency,"$1,493,269 ",,,,,
"New York, NY            ",US Currency,"$1,500,000 ",,,,,
"Omaha, NE               ",US Currency,"$1,513,409 ",,,,,
